naslov,cena_eur,lokacija,kvadratura,broj_soba
"Prodaja dvosobnog stana, Wellport IV faza, 57m2",251.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera","57,05 m2",2.0
"Opremljen četvorosoban stan, 2 garažna mesta",400.000,"Beograd, Opština Novi Beograd, Blok 63, Vojvođanska",100 m2,4.0
Neuseljavan dvoiposoban stan kod Đeram pijace,300.000,"Beograd, Opština Zvezdara, Đeram pijaca, Đevđelijska",67 m2,2.5
"Novogradnja Ustanička, uracunat PDV, bez provizije",267.000,"Beograd, Opština Voždovac, Ustanička, Ustanička","77,13 m2",2.5
"LUX 3.0 stan , 2 terase, lift, ID#1017",290.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Dragiše Brašovana",81 m2,3.0
Stambeno - poslovni kompleks Vidikovac Vista,184.800,"Beograd, Opština Rakovica, Vidikovac, Kneza Višeslava 63","60,56 m2",3.0
Stambeno - poslovni kompleks Vidikovac Vista,280.280,"Beograd, Opština Rakovica, Vidikovac, Kneza Višeslava 63","91,13 m2",3.0
Izuzetan stan na prodaju kod Mašinskog fakulteta,245.000,"Beograd, Opština Palilula, Mašinski fakultet, Ivankovačka",80 m2,3.0
"Lux stan, 2xparking.",381.300,"Beograd, Opština Voždovac, Voždovačka crkva",123 m2,4.5
"Stan na odličnoj lokaciji – Tašmajdan, 27. marta",239.000,"Beograd, Opština Palilula, 27. marta, 27. marta",49 m2,2.5
"Uknjižen, svetao, fantastičan pogled",164.000,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62 m2,2.5
"Vračar, Mileševska – prostran trosoban stan 84 m²",315.000,"Beograd, Opština Vračar, Kalenić pijaca, Mileševska",84 m2,3.0
Bulevar Despota Stefana | Hala Pionir,198.000,"Beograd, Opština Palilula, Bulevar despota Stefana, Bulevar Despota Stefana",49 m2,2.0
Centar Koste Stojanovica Old Town Regency novograd,445.000,"Beograd, Opština Stari grad, Skupština, Koste Stojanovića",80 m2,3.0
Bw Victoria One Bedroom,418.000,"Beograd, Opština Savski venac, Beograd na vodi, ","69,13 m2",2.0
"Bw Lumia 3.0 namešten, odlična pozicija",380.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Celovica Trebinjca",79 m2,3.0
"Prostran 3.5 stan, nov parket i kupatila, tri lođe",250.000,"Beograd, Opština Vračar, Čubura, Cara Nikolaja",84 m2,3.5
"Bw Riviera, PrestiŽ Na 24. Spratu",1.498.000,"Beograd, Opština Savski venac, Beograd na vodi, ","187,25 m2",4.0
Bw Perla Prestiz na 22. spratu sa pogledom na reku,995.000,"Beograd, Opština Savski venac, Beograd na vodi, ","146,06 m2",4.0
Bw Thalia Penthouse,727.550,"Beograd, Opština Savski venac, Beograd na vodi, ","145,51 m2",4.0
"Zvezdara, Đeram pijaca - Pećska",349.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118 m2,5.0
"Stan sa pogledom na Hram, retko na tržištu",1.300.000,"Beograd, Opština Vračar, Hram svetog Save, Bore Stankovića",182 m2,4.5
BW Victoria - Spa centar - Četvorosoban stan,832.860,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",139 m2,4.0
BW Eden - Apollo centar - Spreman za useljenje,270.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","54,93 m2",2.0
Direktno od investitora - Četvorosban stan,591.600,"Beograd, Opština Voždovac, Centar, Jove Ilića","131,48 m2",4.0
Namešten 2.0 soban u kvalitetnoj novogradnji,97.000,"Beograd, Opština Zemun, Batajnica, Belarica 59 nova",37 m2,2.0
Uknjižen 2.0 ugao Ustaničke i Vojislava Ilića,188.000,"Beograd, Opština Zvezdara, Konjarnik, Glasinačka",58 m2,2.0
"Uknjižen, fantastičan stan",119.000,"Beograd, Opština Mladenovac, Mladenovac (mesto)",83 m2,2.5
"Stan sa dvorištem, parking mestom i ostavom",105.000,"Beograd, Opština Mladenovac, Mladenovac (mesto), Momčila Živojinovića",112 m2,4.0
