naslov,cena_eur,lokacija,kvadratura,broj_soba
"Terminal 10,2.0 stan,bez provizije za kupce",228.447,"Beograd, Opština Novi Beograd, Blok 66, Đorđa Stanojevića","62,76 m2",2.0
"Prodaja 3.5 stana na Vračaru, Svetozara Markovića",335.000,"Beograd, Opština Vračar, Pravni fakultet, Svetozara Markovića",103 m2,3.5
"Prodajemo ušuškan dvosoban stan, Cvetni trg, 57m2",249.000,"Beograd, Opština Vračar, Cvetni trg, Svetozara Markovića",57 m2,2.0
Salonski 3.0 stan na Dorćolu dve stambene jedinice,325.000,"Beograd, Opština Stari grad, Dorćol, Cara Uroša",67 m2,3.0
"Vojvode Stepe, Trošarina, odličan 3.0 stan, 89m2",300.000,"Beograd, Opština Voždovac, Trošarina, Vojvode Stepe",89 m2,3.0
"Renoviran 3.0 stan u Sarajevskoj ulici, 68m2",228.000,"Beograd, Opština Savski venac, Sarajevska, Sarajevska",68 m2,3.0
"Nov porodičan 3.5 stan na Zvezdari, Duvanjska 74m2",286.000,"Beograd, Opština Zvezdara, Olimp, Duvanjska",74 m2,3.5
"Svetao trosoban stan sa terasom u Mirijevu, 77m2",210.000,"Beograd, Opština Zvezdara, Mirijevo, Matice srpske",77 m2,3.0
Uknjižen dupleks sa dva odvojena stana na Lionu,315.000,"Beograd, Opština Zvezdara, Lion, Kulina Bana",94 m2,4.0
"Dvosoban stan na Vračaru, 65m2, kod Kalenić pijace",237.000,"Beograd, Opština Vračar, Kalenić pijaca, Maksima Gorkog",65 m2,2.0
"Renoviran 3.0 stan u ulici Maršala Birjuzova, 72m2",350.000,"Beograd, Opština Stari grad, Obilićev venac, Maršala Birjuzova",72 m2,3.0
"Renoviran 4.5 stan kod FDU, blok 28, 121m2, garaža",417.450,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",121 m2,4.5
"Troiposoban stan na Paliluli, Profesorska kolonija",249.000,"Beograd, Opština Palilula, Profesorska kolonija, Nikodima Milaša",74 m2,3.5
"Prodaje se nov četvorosoban stan, New Minel 112m2",429.000,"Beograd, Opština Novi Beograd, Tošin bunar, Tošin bunar",112 m2,4.0
"Prodaje se 5.0 prostran stan na Dedinju, 213m2",1.150.000,"Beograd, Opština Savski venac, Dedinje, Neznanog junaka",213 m2,5.0
Renoviran salonski trosoban stan u Kosovskoj ulici,417.000,"Beograd, Opština Stari grad, Centar, Kosovska",95 m2,3.0
"Namešten, dvosoban stan, 76m2, blizina Marakane",295.000,"Beograd, Opština Voždovac, Bulevar oslobođenja, Bulevar oslobođenja",76 m2,2.0
Adaptibilan 3.0 stan u ulici Strahinjića Bana 85m2,350.000,"Beograd, Opština Stari grad, Dorćol, Strahinjića Bana",85 m2,3.0
"Novi Beograd, Blok 61 - Dr Ivana Ribara",239.000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",75 m2,3.0
"Zemun, 1.0 apartman , novogradnja",120.000,"Beograd, Opština Zemun, Novi grad, Mačvanska",50 m2,1.0
"Čukarica, Banovo brdo - Petra Mećave",170.000,"Beograd, Opština Čukarica, Banovo brdo, Petra Mećave",51 m2,2.0
Lux novogradnja Jove Ilića,195.900,"Beograd, Opština Voždovac, FON - Bilećka, Jove Ilića",47 m2,2.0
Bulevar JNA Jajinci 26m2 (direktno od investitora),57.200,"Beograd, Opština Voždovac, Jajinci, Bulevar JNA",26 m2,1.0
Bw Victoria | odlicna investicija | pogled na grad,355.000,"Beograd, Opština Savski venac, Beograd na vodi, ","62,41 m2",2.0
Kapije Vračara-Luksuzan stan u premium kompleksu,324.000,"Beograd, Opština Vračar, Južni bulevar, Južni bulevar",72 m2,3.0
BW Quartet 3 | Dom spreman za useljenje | 3.0,375.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",72 m2,3.0
Novi Beograd Blok 33,275.000,"Beograd, Opština Novi Beograd, Blok 33, Bulevar Zorana Đinđića",71 m2,3.5
Bw Libera - studio na odličnoj poziciji,195.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona","35,59 m2",1.0
Extra lux stan na Crvenom Krstu-bez provizije,490.200,"Beograd, Opština Vračar, Crveni krst",114 m2,5.0
Extra lux stan u izgradnji-bez provizije,306.783,"Beograd, Opština Vračar, Južni bulevar, Gospodara Vučića",84 m2,4.0
Extra lux stan u izgradnji-bez provizije,265.500,"Beograd, Opština Savski venac, Humska",59 m2,3.0
"Novogradnja Surčin, Lux lokacija, brzo useljivo",78.945,"Beograd, Opština Surčin, Surčin (mesto), Vojvođanska","41,55 m2",1.5
"Novogradnja Surčin, brzo useljivo, Lux Trosoban",173.831,"Beograd, Opština Surčin, Surčin (mesto), Vojvođanska","91,49 m2",3.0
"Cerak vinogradi, troiposoban, uknjižen, vlasnik",290.000,"Beograd, Opština Čukarica, Cerak vinogradi, Vinogradski venac",95 m2,3.5
"Konjarnik, 1.5, 49m2, lođa ID#2505",138.900,"Beograd, Opština Zvezdara, Konjarnik, Ustanička",49 m2,1.5
Komforan 2.5 Zemun ID#2356,164.900,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62 m2,2.5
Blok 45 2.0 stan na top lokaciji ID#2174,228.900,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Nehruova",71 m2,2.0
Lux 3.0 stan na B.Kosi sa garažnim mestom ID#2239,233.883,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Bežanijskih Ilegalaca","59,97 m2",3.0
"Učiteljsko naselje-Živka Davidovića, 96m2, I, eg",263.000,"Beograd, Opština Zvezdara, Učiteljsko naselje, Živka Davidovića",96 m2,3.0
"Slavija-Kneginje Zorke, 91m2, II, cg",450.000,"Beograd, Opština Vračar, Slavija, Kneginje Zorke",91 m2,3.5
"Višnjička Banja, 88m2, Energoprojektove zgrade",185.000,"Beograd, Opština Palilula, Višnjička Banja, Slobodana Jovanovića",88 m2,3.0
"Mirijevo-Dom zdravlja, 86m2, IV, cg",230.000,"Beograd, Opština Zvezdara, Mirijevo, Matice srpske",86 m2,3.0
"BW-Metropolitan, 82m2, lux, VII,",435.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",82 m2,3.0
"Novije, renovirano",69.500,"Beograd, Opština Voždovac, Lekino brdo, Todora Dukina",21 m2,0.5
"Skupština, 78m2, 3.0, 4/4, bez ulaganja",315.000,"Beograd, Opština Stari grad, Skupština, Milutina Bojića",78 m2,3.0
Dvosoban namešten stan u elitnom delu Beograda,226.000,"Beograd, Opština Savski venac, Lisičji potok, Slavka Ćuruvije",70 m2,2.0
Trosoban moderan stan na Zvezdari - 1.sprat,165.000,"Beograd, Opština Zvezdara, Veliki Mokri Lug, Jovana Belića","54,14 m2",3.0
"Lekino brdo, 70m2, vp, eg",199.500,"Beograd, Opština Voždovac, Lekino brdo, Bačvanska",70 m2,2.5
"Dorćol-Cara Dušana, 68m2, V, ta",289.000,"Beograd, Opština Stari grad, Dorćol, Cara Dušana",68 m2,3.0
"Surčin-Krušedolska, 65m2, I, eg, novogradnja",139.900,"Beograd, Opština Surčin, Surčin (mesto), Krušedolska",65 m2,3.0
B. kosa III MZ kod škole- pijaca,130.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Viktora Novaka",45 m2,2.0
Blok 21 Novi Beograd,278.500,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",76 m2,2.0
"Slavujev venac, 61m2, I, eg",228.000,"Beograd, Opština Zvezdara, Bulbulder, Koste Taušanovića",61 m2,2.0
"Dorćol-Braće Baruh, 57m2, V, cg,",256.000,"Beograd, Opština Stari grad, Dorćol, Braće Baruh",57 m2,2.0
"Olimp, 60m2, IV, gas",228.000,"Beograd, Opština Zvezdara, Olimp, Mirka Lukovića",60 m2,3.0
"Mirijevo-OŠ Pavle Savić, 53m2, 2.0, pr, eg",117.900,"Beograd, Opština Zvezdara, Mirijevo, Podmorničara Đorđa Mitrovića",53 m2,2.0
"Lion Viva Residences, 112m2, VI, cg",469.900,"Beograd, Opština Zvezdara, Lion, Milana Rakića",112 m2,3.0
"Vračar, 92m2, 2.5, IV, renoviran sa parkingom",500.000,"Beograd, Opština Vračar, Slavija, Krunska",92 m2,2.5
"BW- Iris, 32.06m2, XIV",179.900,"Beograd, Opština Savski venac, Centar, Hercegovačka",32 m2,1.0
"Kanarevo brdo, odličan uknjižen stan",129.500,"Beograd, Opština Rakovica, Kanarevo brdo, Vukasovićeva",47 m2,2.0
"Autokomanda-kancelarijski prostor,222m2, st",350.000,"Beograd, Opština Voždovac, Autokomanda, Borisavljevićeva",222 m2,5+
"Lipov lad-Dojranska, 57m2, III, ta",259.000,"Beograd, Opština Zvezdara, Lipov lad, Dojranska",57 m2,2.5
Prelep 2.5 stan u bloku 62 ID#2512,299.900,"Beograd, Opština Novi Beograd, Blok 62, Jurija Gagarina",80 m2,2.5
"Lipov lad, 54m2 ID#2476",189.000,"Beograd, Opština Zvezdara, Lipov lad, Kulina Bana",54 m2,2.5
"Lekino brdo,novogradnja,bez provizije za kupca ID#",191.030,"Beograd, Opština Voždovac, Lekino brdo, ","54,58 m2",1.5
"Funkcionalan 2.5 na sjajnoj lokaciji, blok 19A ID#",204.900,"Beograd, Opština Novi Beograd, Blok 19a, Milentija Popovića",59 m2,2.5
Komforan dvosoban u bloku 70 ID#2413,210.000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",64 m2,2.0
"Renoviran, 1.5, namešten stan ID#2367",181.500,"Beograd, Opština Novi Beograd, Fontana, Pariske komune",41 m2,1.5
"Salonac u Smiljanićevoj, 3.0, 76m2(L+T) ID#2343",295.000,"Beograd, Opština Vračar, Kalenić pijaca, Smiljanićeva",69 m2,3.0
"Odmah useljiv, uknjižen, adaptibilan u 3.0",250.000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Jurija Gagarina",70 m2,2.0
"Svetao, funkcionalan",239.000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",68 m2,2.5
"Četvorosoban dupleks na Dorćolu sa 2 terase, 192m2",670.000,"Beograd, Opština Stari grad, Dorćol, Visokog Stevana",192 m2,4.0
Strukturno najlepši trosoban stan u Kaluđerici ID#,114.680,"Beograd, Opština Grocka, Kaluđerica, ",61 m2,3.0
Najbolja lokacija u Mirijevu - žuta fasadna cigla,122.000,"Beograd, Opština Zvezdara, Mirijevo, Grge Jankesa",50 m2,2.0
"B.Kosa I renoviran 2.0(2,5) kod Hrama ID#2067",233.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Nikole Dobrovića",61 m2,2.0
"Zemun naselje 13.maj, 3.0, 77m са terasom + podrum",127.000,"Beograd, Opština Zemun, Batajnicki drum, Poljoprivredno dobro 13. maj",77 m2,3.0
Dupleks Sunyville,205.000,"Beograd, Opština Palilula, Višnjička Banja, MirkaMilojkovića",75 m2,3.0
"Centar-kod Hotela Moskva, 137m2, II, cg,",493.200,"Beograd, Opština Savski venac, Beograđanka, Lomina",137 m2,4.5
Novogradnja na Zvezdari,274.000,"Beograd, Opština Zvezdara, Zeleno brdo, Živka Davidovića","81,79 m2",3.0
"Dorćol, lux, 3.0, sa pečatom istorije",399.900,"Beograd, Opština Stari grad, Dorćol, -",73 m2,3.0
"Botanička bašta, 87m2, XII, cg, namešten",275.000,"Beograd, Opština Palilula, Botanička bašta, Bulevar despota Stefana",87 m2,3.0
"Retko u ponudi, stan sa velikim potencijalom!",230.000,"Beograd, Opština Vračar, Cvetni trg, Desanke Maksimović",56 m2,2.0
"Trg Republike, 134 m2 sa privatnom terasom",370.000,"Beograd, Opština Stari grad, Trg Republike, Trg republike",134 m2,5.0
"Stan, Lekino Brdo",230.000,"Beograd, Opština Voždovac, Lekino brdo, Tetovska",60 m2,2.5
Lux stan u novoj zgradi na top lokaciji ID#137050,139.680,"Beograd, Opština Zemun, Gornji grad, Cara Dušana",36 m2,1.5
Novogradnja na Zvezdari,171.000,"Beograd, Opština Zvezdara, Zeleno brdo, Živka Davidovića","48,85 m2",1.5
"Kalenić pijaca, 82m2, II, eg",319.000,"Beograd, Opština Vračar, Kalenić pijaca, Topolska",82 m2,3.0
"ZEMONA Banatska Lux 1.5 Stan 41,50 m² + g.m.",170.000,"Beograd, Opština Zemun, Gornji grad, Banatska","41,50 m2",1.5
"Nova Karaburma, renoviran, 55m2",155.000,"Beograd, Opština Palilula, Karaburma, Pere Ćetkovića",55 m2,2.0
"Retko u ponudi, Vracar 25m2,renoviran, uknjizen",99.999,"Beograd, Opština Vračar, Kalenić pijaca, Molerova",25 m2,1.0
Ekskluzivni 3.0 salonac na Vračaru,399.000,"Beograd, Opština Vračar, Hram svetog Save, Mačvanska",84 m2,3.0
"U srcu Vračara, zgrada od fasadne cigle",209.000,"Beograd, Opština Vračar, Krunski venac, Koče Kapetana",53 m2,2.5
"Karaburma-stara okretnica, 54m2, vpr",139.900,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",54 m2,2.0
Odličan stan kod Arene ID#15784,292.800,"Beograd, Opština Novi Beograd, Blok 22, Antifašističke borbe",64 m2,2.0
"Dedinje, Stjepana Filipovića, 77m2",187.000,"Beograd, Opština Savski venac, Dedinje, Stjepana Filipovića",77 m2,3.0
"ZepTerra, lux, novogradnja, opremljen, ID 25874",329.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",70 m2,2.5
"Vračar-Kumanovska, 76m2, II, cg",360.000,"Beograd, Opština Vračar, Centar, Kumanovska",76 m2,3.5
"Dvoiposoban, novogradnja, lux ID#1437",124.000,"Beograd, Opština Novi Beograd, Ledine, ","56,49 m2",2.5
"Novogradnja, odvojena soba, keš kupci ID#1438",100.000,"Beograd, Opština Novi Beograd, Ledine, ","38,54 m2",1.5
"Podno grejanje, građevinska dozvola, keš kupci ID#",85.000,"Beograd, Opština Novi Beograd, Ledine, ","42,12 m2",2.5
"Lux, novogradnja, Ledine ID#1443",57.000,"Beograd, Opština Novi Beograd, Ledine, ",30 m2,1.0
"Neimar, 69m2, III, novogradnja",315.000,"Beograd, Opština Vračar, Južni bulevar, Južni bulevar",69 m2,3.0
"Zemun Cara Dušana, uknjižen, novogradnja ID#1002",160.000,"Beograd, Opština Zemun, Cara Dušana, Cara Dušana",45 m2,2.0
"Blok 70, četvorospratnice, 87m2 ID#1007",335.000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Gandijeva",87 m2,3.0
"Blok 63, renoviran 2.5 stan, 63m2 ID#1008",220.500,"Beograd, Opština Novi Beograd, Blok 63, Jurija Gagarina",63 m2,2.5
"Žarkovo, renoviran - uknjižen",179.000,"Beograd, Opština Čukarica, Žarkovo, Dušana Vlajića",72 m2,3.0
"Zvezdara-K.Taušanovića, 68m2, II, ta",239.000,"Beograd, Opština Zvezdara, Bulbulder, Koste Taušanovića",68 m2,3.0
"Dorćol-Kralja Petra, 66m2, III, cg",345.000,"Beograd, Opština Stari grad, Dorćol, Kralja Petra",66 m2,2.0
"Lion, 33m2, pr, ta",110.000,"Beograd, Opština Zvezdara, Lion, Bulevar kralja Aleksandra",33 m2,1.0
"Gundulićev venac, 62m2, pr, eg",215.000,"Beograd, Opština Stari grad, Dorćol, Đorđa Jovanovića",62 m2,3.0
Lux 3.0 stan na Vračaru - Južni bulevar,270.000,"Beograd, Opština Vračar, Južni bulevar, Generala Horvatovića","78,13 m2",3.0
"Odlican stan u Zemunu 47,50m2",180.000,"Beograd, Opština Zemun, Prvomajska, Banjička","47,50 m2",2.0
"Skadarlija, investicija ID#13075",180.000,"Beograd, Opština Stari grad, Skadarlija, Cetinjska",30 m2,1.0
"Penthaus, mereno 136m2, garaža ID#15296",380.000,"Beograd, Opština Voždovac, Autokomanda, Bulevar oslobođenja",115 m2,4.0
"Dorćol, dvosoban stan, mereno 42m2 ID#15440",179.000,"Beograd, Opština Stari grad, Dorćol, Komnen Barjaktara",38 m2,2.0
"Vračar, Kičevska, mereno 40m2, uknjižen ID#15599",205.000,"Beograd, Opština Vračar, Kalenić pijaca, Kičevska",38 m2,1.0
Lux duplex kod ID#15736,315.000,"Beograd, Opština Palilula, Zira, Albanske spomenice",101 m2,3.0
"Novogradnja, brzo useljivo ID#15740",269.500,"Beograd, Opština Voždovac, Voždovačka crkva, Vojvode Stepe",77 m2,3.5
"Kej oslobođenja, 58m2, 2.0 ID#15822",224.000,"Beograd, Opština Zemun, Karađorđev trg, Karađorđev Trg",58 m2,2.0
Top lokacija kod Arene – dve funkcionalne celine,365.000,"Beograd, Opština Novi Beograd, Blok 24 (Super Vero), Bulevar Arsenija Čarnojevića",95 m2,3.5
Jednosoban stan u Sarajevskoj,125.000,"Beograd, Opština Savski venac, Sarajevska, Sarajevska",33 m2,1.0
"Hotel Jugoslavija, 48m2",159.000,"Beograd, Opština Novi Beograd, Hotel Jugoslavija, Džona Kenedija",48 m2,2.0
"Novi Železnik,dvosoban stan ID#2261",133.000,"Beograd, Opština Čukarica, Novi Železnik, Darinke Radović",59 m2,2.0
Prelep uknjižen 4.0 dupleks ID#2365,216.000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",108 m2,4.0
"New Minel, luksuzan penthaus 176m2 ID#2447",692.000,"Beograd, Opština Novi Beograd, Tošin bunar, Tošin bunar",176 m2,4.0
"Beograđanka-Birčaninova, 54m2, IV, ta/cg",175.000,"Beograd, Opština Vračar, Slavija, Birčaninova",54 m2,3.0
"Meandri, dvoiposoban stan, odmah useljiv ID#2517",205.000,"Beograd, Opština Zemun, Meandri, Zagorska",77 m2,2.5
"Vračar,Krunska,odmah useljiv,garaža ID#2539",585.000,"Beograd, Opština Vračar, Cvetni trg, Svetozara Markovića",110 m2,3.5
"Blok 45, četvorospratnica, odmah useljiv ID#2545",290.000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Dr Ivana Ribara",92 m2,3.0
"Penthouse -T.C Stadion, Vanđela Tome ID#3865",205.000,"Beograd, Opština Voždovac, TC Stadion, Vanđela Tome","88,75 m2",2.5
"Dorćol, Braće Baruh 2.0, 57m2, renoviran, namešten",256.000,"Beograd, Opština Stari grad, Dorćol, Braće Baruh",57 m2,2.0
"Palilula, Karaburma - Salvadora Aljendea",115.000,"Beograd, Opština Palilula, Karaburma, Salvadora Aljendea",43 m2,1.0
"Palilula, Stara Karaburma - Sloga",99.900,"Beograd, Opština Palilula, Karaburma, Sloga",30 m2,0.5
"Zelena oaza na Miljakovcu 2–Odličan stan, 54m2",147.900,"Beograd, Opština Rakovica, Miljakovac, Stevana Opačića",54 m2,2.0
Trosoban stan funkcionalnog rasporeda u Bloku 8a,223.000,"Beograd, Opština Novi Beograd, Blok 8a, Bulevar Mihajla Pupina",61 m2,3.0
"Odličan 2.0 uknjižen, na top lokaciji",217.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Marka Čelebonovića",64 m2,2.0
"Karaburma TC Big, garsonjera sa terasom",89.000,"Beograd, Opština Palilula, Karaburma, Homoljska",25 m2,0.5
"Lux, uknjižen, u Palmotićevoj",398.000,"Beograd, Opština Stari grad, Skupština, Palmotićeva",120 m2,4.5
"Stara Bežanija, 50m2, vpr, eg,",159.000,"Beograd, Opština Novi Beograd, Stara Bežanija, Pere Segedinca",50 m2,2.5
"Kod Kluza, 50m2, dvosoban, namešten, renoviran",115.000,"Beograd, Opština Zvezdara, Kluz, Dušana Radovića",50 m2,2.0
"Mirijevo-Zagrađe, 43m2, III, eg",130.000,"Beograd, Opština Zvezdara, Mirijevo, Zagrađe",43 m2,1.5
Novi Beograd-Blok 61 ID#1591,105.000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",48 m2,2.0
"Lekino brdo, 33m2, IV, cg",142.000,"Beograd, Opština Voždovac, Lekino brdo, Murska",33 m2,1.0
Mirijevo novogradnja | Dvoiposoban | Useljivo,138.325,"Beograd, Opština Zvezdara, Mirijevo, Aleksandra Bugarskog","55,33 m2",2.5
Mirijevo| Mirijevo 3 | Nov,122.000,"Beograd, Opština Zvezdara, Mirijevo, Podmorničara Đorđa Mitrovića","55,05 m2",2.0
Useljiv odmah + parking,205.000,"Beograd, Opština Zemun, Save Kovačevića, Tršćanska",59 m2,2.5
Osvetljen dvostrano orijentisan stan 92 m²,380.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Partizanske avijacije",92 m2,4.0
Lux stan sa pogledom,298.000,"Beograd, Opština Voždovac, Trošarina, Vojvode Stepe",90 m2,3.0
"Odličan, lako adaptibilan u dvosoban",119.900,"Beograd, Opština Voždovac, Braće Jerković, Braće Jerković",47 m2,1.0
Vračar - kod Kajmakčalanske - nov ID#5272,275.900,"Beograd, Opština Vračar, Crveni krst, Dojranska",61 m2,2.5
Plato Milene i Gage-Mileševska-divan 3.5 stan! ID#,430.000,"Beograd, Opština Vračar, Centar, Mileševska",100 m2,3.5
"Zahumska-Vukov spomenik, lux opremljena garsonjera",137.000,"Beograd, Opština Zvezdara, Vukov Spomenik, Zahumska",30 m2,1.0
"Pogled na Dunav, veća kvadratura,samo za keš kupci",146.000,"Beograd, Opština Palilula, Karaburma, Marijane Gregoran",60 m2,2.0
"Banovo brdo, 33m2+7m2 ID#2501",165.000,"Beograd, Opština Čukarica, Banovo brdo, Petra Lekovića",33 m2,1.5
"Lux, renoviran, 2.0, Cerak",228.000,"Beograd, Opština Čukarica, Cerak vinogradi, Lipa",59 m2,2.0
Gornji Dorćol Kapetan Mišina,670.000,"Beograd, Opština Stari grad, Dorćol, Kapetan Mišina",155 m2,4.0
"Ćalije, novogradnja, 3.0, 88(T)+Garaž. m., useljiv",160.000,"Beograd, Opština Palilula, Ćalije, Ćustendilska",88 m2,3.0
"Uknjižen 2.0 stan u Viševačkoj, Rakovica",65.000,"Beograd, Opština Rakovica, Centar, Viševačka",30 m2,2.0
Nov apartman kod Đeram pijace – 33m²+14m² Galerija,149.000,"Beograd, Opština Zvezdara, Đeram pijaca, Šabačka",47 m2,1.0
Garsonjera – Bogoslovija – 30m2 sa terasom,129.000,"Beograd, Opština Palilula, Bogoslovija, Generala Aračića",30 m2,0.5
"Novogradnja, može kredit ID#14531",111.520,"Beograd, Opština Grocka, Kaluđerica, Mokroluška",56 m2,1.5
"Lux novogradnja, cena sa pdv-om ID#15925",230.864,"Beograd, Opština Voždovac, Dušanovac, Ustanička","49,33 m2",2.0
Direktna Prodaja Stana,103.950,"Beograd, Opština Zemun, Altina, Ugrinovacki put 30 deo",55 m2,2.5
"Dvosoban, u Gredinoj zgradi Porečka ID#1370",175.000,"Beograd, Opština Palilula, Cvijićeva, Porečka",42 m2,2.0
"Nov, Jakovo, 1.5, 40m2, prizemlje ID#2117",79.900,"Beograd, Opština Surčin, Jakovo, ",40 m2,1.5
"Zemun 3.5, lux, uredna dokumentacija",247.500,"Beograd, Opština Zemun, Gornji grad, Gornji grad",82 m2,3.5
Penthouse | Kalvarija | 98 m² | Smart Home | Premi,295.210,"Beograd, Opština Zemun, Kalvarija, Zemun",98 m2,3.0
"Lux, Arena, bez ulaganja",399.000,"Beograd, Opština Novi Beograd, Blok 29, Bulevar Arsenija Čarnojevića",85 m2,3.0
"LUX 3.0, kredit, vrhunski kvalitet",201.000,"Beograd, Opština Zemun, Cara Dušana, -",67 m2,3.0
Expo Residence - provizija 1.5%,101.750,"Beograd, Opština Novi Beograd, Ledine, Belfortska",37 m2,1.5
Expo Residence - provizija 1.5%,158.500,"Beograd, Opština Novi Beograd, Ledine, Belfortska",63 m2,2.0
"Zemun, 59m trosoban, useljiv,",194.000,"Beograd, Opština Zemun, Zemunske kapije, Šumadijska 16",59 m2,3.0
"Dupleks 3.5 na Vidikovcu, sa privatnim dvorištem",264.000,"Beograd, Opština Rakovica, Vidikovac","85,26 m2",3.5
"Vračar 63(T) novogradnja sa velikom terasom,",267.000,"Beograd, Opština Vračar, Južni bulevar, Braće Radovanović",63 m2,3.0
"Legalizacija,uskoro useljiv,opis u tekstu oglasa",76.000,"Beograd, Opština Novi Beograd, Stara Bežanija, Vinogradska",44 m2,1.5
"Kej - Nestvaran pogled na Dunav, dva parking mesta",340.000,"Beograd, Opština Zemun, Kej, Kej oslobođenja",73 m2,3.0
Dupleks | Knez Mihailova | Prestižna lokacija,495.000,"Beograd, Opština Stari grad, Knez Mihailova, Kneza Mihaila",123 m2,4.0
Četvorosoban | BW Terraces | Pogled na reku | Lux,1.220.000,"Beograd, Opština Savski venac, Beograd na vodi, Ulica Hercegovacka 16","139,37 m2",4.0
Dupleks | Vračar | Potpuno opremljen | Lux,1.300.000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Prodanova",316 m2,5.0
Pravo korišćenja krovne terase ID#9925111,305.000,"Beograd, Opština Savski venac, Centar, Prilepska","88,37 m2",4.0
Troiposoban stan na odličnoj lokaciji na Banovom b,379.000,"Beograd, Opština Čukarica, Banovo brdo, ",101 m2,3.5
Komforan troiposoban stan u blizini Ada Mall-a,375.000,"Beograd, Opština Čukarica, Banovo brdo, ","101,34 m2",3.5
BW Rima – 3.0 sa garažom po početnoj ceni,330.500,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",76 m2,3.0
Novogradnja - dvosoban - velika terasa,103.800,"Beograd, Opština Zvezdara, Vojvode Vlahovića, Nikole Altomanovića","43,25 m2",2.0
