naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
Penthouse | BW King’s Park | Prostrana terasa,745000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",151.87,4.0,4905.511292552841
Trosoban | BW St. Regis | Poged na reku,838400,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova",91.13,3.0,9200.043893339187
Četvorosoban | BW Simfonija 2 | Pogled na reku,610000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",123.74,4.0,4929.691288184904
Kompletno renoviran stan na odličnoj lokaciji,129000,"Beograd, Opština Zemun, Donji grad, Ugrinovačka",44.0,1.5,2931.818181818182
Trosoban | Skenderbegova | Garažno mesto,520000,"Beograd, Opština Stari grad, Dorćol, Skender Begova",83.0,3.0,6265.060240963855
"Novogradnja bez provizije, parking",90867,"Beograd, Opština Palilula, Borča, Ovčanski put",43.27,1.5,2100.0
Četvorosoban | Vračar | Kalenić pijaca,710000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Prodanova",177.0,4.0,4011.299435028249
Dvosoban stan | BW Perla | Panoramski pogled,470000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",71.35,2.0,6587.245970567625
"Uknjižen, renoviran, bez ulaganja, 1.5 stan",132500,"Beograd, Opština Rakovica, Kneževac, 17. oktobra",44.0,1.5,3011.3636363636365
"Opremljen, lux, garaža",207500,"Beograd, Opština Zvezdara, Dimitrija Tucovića, Dimitrija Tucovića",50.0,2.0,4150.0
"Uknjižen, jedosoban, odmah useljiv",142000,"Beograd, Opština Voždovac, Lekino brdo, Murska",33.0,1.0,4303.030303030303
"Svetao, izuzetan, retko u ponudi",210000,"Beograd, Opština Zvezdara, Mirijevo, Vladislava Bajčevića",84.0,3.0,2500.0
"Uknjižen, brzo useljiv",132600,"Beograd, Opština Palilula, Karaburma, Bata Lakina",39.0,1.5,3400.0
"Svetao, lep raspored",142000,"Beograd, Opština Zvezdara, Mirijevo, Ljube Tadića",45.0,1.5,3155.5555555555557
"Blok 28, 3.0, 80(T), renoviran, useljiv",278900,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",80.0,3.0,3486.25
"Vračar, 3.0, Lux renoviran, 75(2T), useljiv",298900,"Beograd, Opština Vračar, Južni bulevar, Sime Igumanova",75.0,3.0,3985.3333333333335
